"payment_month","user_id","game_name","total_revenue","new_mrr","expansion_revenue","contraction_revenue","back_from_churn_revenue","churned_revenue","churn_month","language","has_older_device_model","age"
2022-04-01,"7EPlnA7OQ9MhMx+od6FA9g==",game 3,114.15,,,-44.52,,,,ru,false,23
2022-05-01,"7EPlnA7OQ9MhMx+od6FA9g==",game 3,51.18,,,-62.97,,,,ru,false,23
2022-06-01,"7EPlnA7OQ9MhMx+od6FA9g==",game 3,12.39,,,-38.79,,12.39,2022-07-01,ru,false,23
2022-08-01,"7EPlnA7OQ9MhMx+od6FA9g==",game 3,48.18,,,,48.18,48.18,2022-09-01,ru,false,23
2022-11-01,"7EPlnA7OQ9MhMx+od6FA9g==",game 3,14.43,,,,14.43,,,ru,false,23
2022-12-01,"7EPlnA7OQ9MhMx+od6FA9g==",game 3,41.16,,26.73,,,41.16,2023-01-01,ru,false,23
2022-05-01,"7ew71UmoMb73L41PM/YL/w==",game 3,32.10,32.10,,,,,,uk,false,17
2022-06-01,"7ew71UmoMb73L41PM/YL/w==",game 3,34.11,,2.01,,,,,uk,false,17
2022-07-01,"7ew71UmoMb73L41PM/YL/w==",game 3,40.23,,6.12,,,,,uk,false,17
2022-08-01,"7ew71UmoMb73L41PM/YL/w==",game 3,40.74,,0.51,,,,,uk,false,17
2022-09-01,"7ew71UmoMb73L41PM/YL/w==",game 3,45.15,,4.41,,,,,uk,false,17
2022-10-01,"7ew71UmoMb73L41PM/YL/w==",game 3,13.74,,,-31.41,,,,uk,false,17
2022-11-01,"7ew71UmoMb73L41PM/YL/w==",game 3,29.76,,16.02,,,29.76,2022-12-01,uk,false,17
2022-08-01,"7GCGwypiXsxGxetp6/KmnA==",game 3,30.21,30.21,,,,,,uk,false,31
2022-09-01,"7GCGwypiXsxGxetp6/KmnA==",game 3,63.30,,33.09,,,63.30,2022-10-01,uk,false,31
2022-11-01,"7GCGwypiXsxGxetp6/KmnA==",game 3,45.00,,,,45.00,45.00,2022-12-01,uk,false,31
2022-03-01,"7GE5h/3N3lcro3K9T3aujw==",game 3,38.52,38.52,,,,,,ru,false,32
2022-04-01,"7GE5h/3N3lcro3K9T3aujw==",game 3,58.20,,19.68,,,,,ru,false,32
2022-05-01,"7GE5h/3N3lcro3K9T3aujw==",game 3,118.95,,60.75,,,,,ru,false,32
2022-06-01,"7GE5h/3N3lcro3K9T3aujw==",game 3,144.75,,25.80,,,,,ru,false,32
2022-07-01,"7GE5h/3N3lcro3K9T3aujw==",game 3,89.04,,,-55.71,,,,ru,false,32
2022-08-01,"7GE5h/3N3lcro3K9T3aujw==",game 3,104.70,,15.66,,,,,ru,false,32
